Constraint,p_value,Measure_VAR1,Measure_VAR2,ABS-Difference,Natural_Language_Description
AlternateResponse(04_BPT_005:01_HOOFD_814),0.001,0.12593517,0.5823627,0.45642754,In variant 2 it is 45.642754% more likely than variant1 that if [04_BPT_005] occurs: [01_HOOFD_814] will occur afterwards without any other occurrence of [04_BPT_005] in between. 
Precedence(03_GBH_005:01_HOOFD_370),0.001,0.1689612,0.62521297,0.45625177,In variant 2 it is 45.625175% more likely than variant1 that if [01_HOOFD_370] occurs: [03_GBH_005] occurred before it. 
RespondedExistence(01_HOOFD_195:01_HOOFD_814),0.001,0.10253165,0.5561056,0.45357397,In variant 2 it is 45.3574% more likely than variant1 that if [01_HOOFD_195] occurs: also [01_HOOFD_814] occurs. 
RespondedExistence(01_HOOFD_195:01_HOOFD_815),0.001,0.10253165,0.5561056,0.45357397,In variant 2 it is 45.3574% more likely than variant1 that if [01_HOOFD_195] occurs: also [01_HOOFD_815] occurs. 
RespondedExistence(01_HOOFD_500:05_EIND_010),0.001,0.16428572,0.61358315,0.44929743,In variant 2 it is 44.92974% more likely than variant1 that if [01_HOOFD_500] occurs: also [05_EIND_010] occurs. 
AlternateResponse(01_HOOFD_011:01_BB_775),0.001,0.13224182,0.5813559,0.4491141,In variant 2 it is 44.91141% more likely than variant1 that if [01_HOOFD_011] occurs: [01_BB_775] will occur afterwards without any other occurrence of [01_HOOFD_011] in between. 
CoExistence(01_BB_775:01_HOOFD_011),0.001,0.13224182,0.5813559,0.4491141,In variant 2 it is 44.91141% more likely than variant1 that [01_BB_775] and [01_HOOFD_011] co-occur. 
RespondedExistence(01_HOOFD_250_2:05_EIND_010),0.001,0.14512472,0.594132,0.44900727,In variant 2 it is 44.900726% more likely than variant1 that if [01_HOOFD_250_2] occurs: also [05_EIND_010] occurs. 
RespondedExistence(01_HOOFD_250_1:05_EIND_010),0.001,0.14512472,0.594132,0.44900727,In variant 2 it is 44.900726% more likely than variant1 that if [01_HOOFD_250_1] occurs: also [05_EIND_010] occurs. 
RespondedExistence(01_HOOFD_490_4:05_EIND_010),0.001,0.12522686,0.5724299,0.44720304,In variant 2 it is 44.720303% more likely than variant1 that if [01_HOOFD_490_4] occurs: also [05_EIND_010] occurs. 
NotSuccession(01_HOOFD_110_1:01_BB_775),0.001,0.9173228,0.4713217,0.4460011,In variant 1 it is 44.600113% more likely than variant2 that [01_HOOFD_110_1] is not followed by [01_BB_775] and [01_BB_775] is not preceded by [01_HOOFD_110_1]. 
NotSuccession(01_HOOFD_110_2:01_BB_775),0.001,0.9219858,0.47921762,0.4427682,In variant 1 it is 44.276817% more likely than variant2 that [01_HOOFD_110_2] is not followed by [01_BB_775] and [01_BB_775] is not preceded by [01_HOOFD_110_2]. 
RespondedExistence(08_AWB45_005:05_EIND_010),0.001,0.120661154,0.5618221,0.44116098,In variant 2 it is 44.116096% more likely than variant1 that if [08_AWB45_005] occurs: also [05_EIND_010] occurs. 
Response(01_HOOFD_330:01_HOOFD_814),0.001,0.09535161,0.5357711,0.44041947,In variant 2 it is 44.041946% more likely than variant1 that if [01_HOOFD_330] occurs: [01_HOOFD_814] will occur afterwards. 
Response(01_HOOFD_330:01_HOOFD_815),0.001,0.09535161,0.5357711,0.44041947,In variant 2 it is 44.041946% more likely than variant1 that if [01_HOOFD_330] occurs: [01_HOOFD_815] will occur afterwards. 
RespondedExistence(03_GBH_005:01_HOOFD_065_2),0.001,0.9585799,0.51877934,0.43980056,In variant 1 it is 43.980057% more likely than variant2 that if [03_GBH_005] occurs: also [01_HOOFD_065_2] occurs. 
AlternateResponse(04_BPT_005:01_BB_775),0.001,0.13092269,0.5707155,0.4397928,In variant 2 it is 43.979282% more likely than variant1 that if [04_BPT_005] occurs: [01_BB_775] will occur afterwards without any other occurrence of [04_BPT_005] in between. 
RespondedExistence(03_GBH_005:01_HOOFD_065_1),0.001,0.9585799,0.52112675,0.43745315,In variant 1 it is 43.745316% more likely than variant2 that if [03_GBH_005] occurs: also [01_HOOFD_065_1] occurs. 
AlternateResponse(01_HOOFD_090:01_BB_770),0.001,0.16929133,0.6049822,0.43569088,In variant 2 it is 43.569088% more likely than variant1 that if [01_HOOFD_090] occurs: [01_BB_770] will occur afterwards without any other occurrence of [01_HOOFD_090] in between. 
RespondedExistence(01_HOOFD_195:01_BB_775),0.001,0.1329114,0.5660066,0.43309522,In variant 2 it is 43.30952% more likely than variant1 that if [01_HOOFD_195] occurs: also [01_BB_775] occurs. 
RespondedExistence(01_HOOFD_460a:01_BB_775),0.001,0.41379312,0.84615386,0.43236074,In variant 2 it is 43.236073% more likely than variant1 that if [01_HOOFD_460a] occurs: also [01_BB_775] occurs. 
RespondedExistence(01_BB_770:03_GBH_005),0.001,0.12101911,0.55284554,0.4318264,In variant 2 it is 43.18264% more likely than variant1 that if [01_BB_770] occurs: also [03_GBH_005] occurs. 
RespondedExistence(01_HOOFD_195:03_GBH_005),0.001,0.18227848,0.6105611,0.4282826,In variant 2 it is 42.82826% more likely than variant1 that if [01_HOOFD_195] occurs: also [03_GBH_005] occurs. 
AlternateResponse(01_HOOFD_490_2:01_HOOFD_815),0.001,0.091224015,0.5192604,0.4280364,In variant 2 it is 42.80364% more likely than variant1 that if [01_HOOFD_490_2] occurs: [01_HOOFD_815] will occur afterwards without any other occurrence of [01_HOOFD_490_2] in between. 
AlternateResponse(01_HOOFD_490_2:01_HOOFD_814),0.001,0.091224015,0.5192604,0.4280364,In variant 2 it is 42.80364% more likely than variant1 that if [01_HOOFD_490_2] occurs: [01_HOOFD_814] will occur afterwards without any other occurrence of [01_HOOFD_490_2] in between. 
RespondedExistence(01_HOOFD_110_1:05_EIND_010),0.001,0.25730994,0.6838235,0.42651358,In variant 2 it is 42.65136% more likely than variant1 that if [01_HOOFD_110_1] occurs: also [05_EIND_010] occurs. 
NotSuccession(01_HOOFD_110_0:01_BB_775),0.001,0.81950206,0.3939394,0.42556265,In variant 1 it is 42.556267% more likely than variant2 that [01_HOOFD_110_0] is not followed by [01_BB_775] and [01_BB_775] is not preceded by [01_HOOFD_110_0]. 
AlternateResponse(01_HOOFD_480:01_HOOFD_815),0.001,0.08,0.50259966,0.42259967,In variant 2 it is 42.259968% more likely than variant1 that if [01_HOOFD_480] occurs: [01_HOOFD_815] will occur afterwards without any other occurrence of [01_HOOFD_480] in between. 
AlternateResponse(01_HOOFD_480:01_HOOFD_814),0.001,0.08,0.50259966,0.42259967,In variant 2 it is 42.259968% more likely than variant1 that if [01_HOOFD_480] occurs: [01_HOOFD_814] will occur afterwards without any other occurrence of [01_HOOFD_480] in between. 
RespondedExistence(01_BB_540:05_EIND_010),0.001,0.28148147,0.7032755,0.42179403,In variant 2 it is 42.1794% more likely than variant1 that if [01_BB_540] occurs: also [05_EIND_010] occurs. 
RespondedExistence(01_BB_540:03_GBH_005),0.001,0.13333334,0.5549133,0.42157996,In variant 2 it is 42.157997% more likely than variant1 that if [01_BB_540] occurs: also [03_GBH_005] occurs. 
NotSuccession(01_HOOFD_490_4:01_HOOFD_811),0.001,0.8614035,0.4401806,0.42122293,In variant 1 it is 42.12229% more likely than variant2 that [01_HOOFD_490_4] is not followed by [01_HOOFD_811] and [01_HOOFD_811] is not preceded by [01_HOOFD_490_4]. 
RespondedExistence(01_HOOFD_330:01_BB_775),0.001,0.12514898,0.54531,0.42016104,In variant 2 it is 42.016106% more likely than variant1 that if [01_HOOFD_330] occurs: also [01_BB_775] occurs. 
NotSuccession(01_HOOFD_491:01_HOOFD_811),0.001,0.8777969,0.4626556,0.41514128,In variant 1 it is 41.51413% more likely than variant2 that [01_HOOFD_491] is not followed by [01_HOOFD_811] and [01_HOOFD_811] is not preceded by [01_HOOFD_491]. 
RespondedExistence(01_HOOFD_100_0:01_HOOFD_250_1),0.001,0.5870647,1,0.41293532,In variant 2 it is 41.293533% more likely than variant1 that if [01_HOOFD_100_0] occurs: also [01_HOOFD_250_1] occurs. 
RespondedExistence(01_HOOFD_459:01_BB_775),0.002,0.41379312,0.825,0.41120687,In variant 2 it is 41.120686% more likely than variant1 that if [01_HOOFD_459] occurs: also [01_BB_775] occurs. 
Precedence(01_HOOFD_130:01_HOOFD_460a),0.001,0,0.41025642,0.41025642,In variant 2 it is 41.025642% more likely than variant1 that if [01_HOOFD_460a] occurs: [01_HOOFD_130] occurred before it. 
NotSuccession(01_HOOFD_065_0:01_BB_775),0.001,0.8330134,0.42350334,0.40951008,In variant 1 it is 40.951008% more likely than variant2 that [01_HOOFD_065_0] is not followed by [01_BB_775] and [01_BB_775] is not preceded by [01_HOOFD_065_0]. 
AlternateResponse(01_HOOFD_490_2:01_BB_775),0.001,0.12124711,0.5285054,0.40725827,In variant 2 it is 40.725826% more likely than variant1 that if [01_HOOFD_490_2] occurs: [01_BB_775] will occur afterwards without any other occurrence of [01_HOOFD_490_2] in between. 
AlternateResponse(01_HOOFD_480:01_BB_775),0.001,0.10352941,0.50779897,0.40426958,In variant 2 it is 40.426956% more likely than variant1 that if [01_HOOFD_480] occurs: [01_BB_775] will occur afterwards without any other occurrence of [01_HOOFD_480] in between. 
RespondedExistence(01_HOOFD_480:01_BB_775),0.001,0.10352941,0.50779897,0.40426958,In variant 2 it is 40.426956% more likely than variant1 that if [01_HOOFD_480] occurs: also [01_BB_775] occurs. 
AlternateResponse(01_HOOFD_430:01_BB_775),0.001,0.10401891,0.5069204,0.40290147,In variant 2 it is 40.290146% more likely than variant1 that if [01_HOOFD_430] occurs: [01_BB_775] will occur afterwards without any other occurrence of [01_HOOFD_430] in between. 
RespondedExistence(01_HOOFD_491:05_EIND_010),0.001,0.12137681,0.5214592,0.4000824,In variant 2 it is 40.00824% more likely than variant1 that if [01_HOOFD_491] occurs: also [05_EIND_010] occurs. 
RespondedExistence(01_HOOFD_330:03_GBH_005),0.001,0.16090584,0.5596184,0.39871258,In variant 2 it is 39.871258% more likely than variant1 that if [01_HOOFD_330] occurs: also [03_GBH_005] occurs. 
RespondedExistence(01_HOOFD_430:03_GBH_005),0.001,0.14066194,0.52768165,0.3870197,In variant 2 it is 38.70197% more likely than variant1 that if [01_HOOFD_430] occurs: also [03_GBH_005] occurs. 
RespondedExistence(10_UOV_050_1:01_HOOFD_130),0.001,0.43421054,0.8203125,0.38610196,In variant 2 it is 38.610195% more likely than variant1 that if [10_UOV_050_1] occurs: also [01_HOOFD_130] occurs. 
RespondedExistence(01_HOOFD_480:03_GBH_005),0.001,0.14117648,0.5268631,0.38568664,In variant 2 it is 38.568665% more likely than variant1 that if [01_HOOFD_480] occurs: also [03_GBH_005] occurs. 
RespondedExistence(01_HOOFD_530b:01_HOOFD_030_2),0.001,0.61538464,1,0.38461536,In variant 2 it is 38.461536% more likely than variant1 that if [01_HOOFD_530b] occurs: also [01_HOOFD_030_2] occurs. 
RespondedExistence(01_HOOFD_465:01_HOOFD_130),0.001,0.39759037,0.7810219,0.38343152,In variant 2 it is 38.34315% more likely than variant1 that if [01_HOOFD_465] occurs: also [01_HOOFD_130] occurs. 
RespondedExistence(01_HOOFD_490_2:03_GBH_005),0.001,0.14665127,0.5300462,0.38339496,In variant 2 it is 38.339497% more likely than variant1 that if [01_HOOFD_490_2] occurs: also [03_GBH_005] occurs. 
RespondedExistence(01_HOOFD_330:01_HOOFD_100_0),0.001,0.3909416,0.007949126,0.38299248,In variant 1 it is 38.299248% more likely than variant2 that if [01_HOOFD_330] occurs: also [01_HOOFD_100_0] occurs. 
RespondedExistence(01_HOOFD_510_2:03_GBH_005),0.001,0.14905451,0.53115726,0.38210273,In variant 2 it is 38.210274% more likely than variant1 that if [01_HOOFD_510_2] occurs: also [03_GBH_005] occurs. 
Precedence(03_GBH_005:01_HOOFD_375),0.001,0.14639397,0.52578795,0.379394,In variant 2 it is 37.9394% more likely than variant1 that if [01_HOOFD_375] occurs: [03_GBH_005] occurred before it. 
RespondedExistence(01_HOOFD_814:01_HOOFD_490_5),0.001,0.5648148,0.9431818,0.378367,In variant 2 it is 37.8367% more likely than variant1 that if [01_HOOFD_814] occurs: also [01_HOOFD_490_5] occurs. 
AlternatePrecedence(05_EIND_010:01_HOOFD_815),0.001,0.25233644,0.6306818,0.37834537,In variant 2 it is 37.834538% more likely than variant1 that if [01_HOOFD_815] occurs: [05_EIND_010] occurred before it without any other occurrence of [01_HOOFD_815] in between. 
Precedence(03_GBH_005:01_HOOFD_490_1),0.001,0.15092291,0.52915454,0.37823164,In variant 2 it is 37.823166% more likely than variant1 that if [01_HOOFD_490_1] occurs: [03_GBH_005] occurred before it. 
Precedence(01_HOOFD_061:01_HOOFD_490_3a),0.002,0.8780488,0.5,0.37804878,In variant 1 it is 37.80488% more likely than variant2 that if [01_HOOFD_490_3a] occurs: [01_HOOFD_061] occurred before it. 
RespondedExistence(01_HOOFD_030_1:03_GBH_005),0.001,0.14941494,0.52731895,0.377904,In variant 2 it is 37.7904% more likely than variant1 that if [01_HOOFD_030_1] occurs: also [03_GBH_005] occurs. 
RespondedExistence(01_HOOFD_180:03_GBH_005),0.001,0.14754099,0.52362204,0.37608105,In variant 2 it is 37.608105% more likely than variant1 that if [01_HOOFD_180] occurs: also [03_GBH_005] occurs. 
RespondedExistence(01_HOOFD_380:03_GBH_005),0.001,0.14994606,0.52578795,0.3758419,In variant 2 it is 37.58419% more likely than variant1 that if [01_HOOFD_380] occurs: also [03_GBH_005] occurs. 
AlternatePrecedence(05_EIND_010:01_BB_770),0.001,0.3121019,0.6878049,0.37570298,In variant 2 it is 37.570297% more likely than variant1 that if [01_BB_770] occurs: [05_EIND_010] occurred before it without any other occurrence of [01_BB_770] in between. 
RespondedExistence(09_AH_I_010:03_GBH_005),0.001,0.15069968,0.52578795,0.37508827,In variant 2 it is 37.508827% more likely than variant1 that if [09_AH_I_010] occurs: also [03_GBH_005] occurs. 
Precedence(03_GBH_005:01_HOOFD_510_1),0.001,0.14972067,0.5241692,0.37444854,In variant 2 it is 37.444855% more likely than variant1 that if [01_HOOFD_510_1] occurs: [03_GBH_005] occurred before it. 
RespondedExistence(01_HOOFD_809c:01_HOOFD_030_2),0.001,0.62666667,1,0.37333333,In variant 2 it is 37.333332% more likely than variant1 that if [01_HOOFD_809c] occurs: also [01_HOOFD_030_2] occurs. 
RespondedExistence(01_HOOFD_815:01_HOOFD_490_5),0.001,0.57009345,0.9431818,0.37308836,In variant 2 it is 37.308838% more likely than variant1 that if [01_HOOFD_815] occurs: also [01_HOOFD_490_5] occurs. 
RespondedExistence(01_HOOFD_020:03_GBH_005),0.001,0.14154103,0.51449275,0.37295172,In variant 2 it is 37.29517% more likely than variant1 that if [01_HOOFD_020] occurs: also [03_GBH_005] occurs. 
RespondedExistence(01_HOOFD_015:03_GBH_005),0.001,0.1409508,0.51387215,0.37292135,In variant 2 it is 37.292133% more likely than variant1 that if [01_HOOFD_015] occurs: also [03_GBH_005] occurs. 
RespondedExistence(01_HOOFD_010:03_GBH_005),0.001,0.1409508,0.51325303,0.37230223,In variant 2 it is 37.230225% more likely than variant1 that if [01_HOOFD_010] occurs: also [03_GBH_005] occurs. 
AlternatePrecedence(01_HOOFD_491:01_HOOFD_814),0.001,0.5740741,0.94602275,0.37194866,In variant 2 it is 37.194866% more likely than variant1 that if [01_HOOFD_814] occurs: [01_HOOFD_491] occurred before it without any other occurrence of [01_HOOFD_814] in between. 
AlternatePrecedence(05_EIND_010:01_HOOFD_814),0.001,0.25925925,0.6306818,0.37142256,In variant 2 it is 37.142258% more likely than variant1 that if [01_HOOFD_814] occurs: [05_EIND_010] occurred before it without any other occurrence of [01_HOOFD_814] in between. 
Precedence(01_HOOFD_061:01_HOOFD_460a),0.002,0.44827586,0.07692308,0.3713528,In variant 1 it is 37.13528% more likely than variant2 that if [01_HOOFD_460a] occurs: [01_HOOFD_061] occurred before it. 
Participation(03_GBH_005),0.001,0.1409508,0.5120192,0.37106842,In variant 2 it is 37.106842% more likely than variant1 that [03_GBH_005] occurs in every process instance. 
RespondedExistence(01_HOOFD_030_2:03_GBH_005),0.001,0.15669516,0.5275288,0.37083367,In variant 2 it is 37.083366% more likely than variant1 that if [01_HOOFD_030_2] occurs: also [03_GBH_005] occurs. 
RespondedExistence(05_EIND_010:03_GBH_005),0.001,0.3264887,0.69433963,0.36785093,In variant 2 it is 36.78509% more likely than variant1 that if [05_EIND_010] occurs: also [03_GBH_005] occurs. 
AlternatePrecedence(01_HOOFD_491:01_HOOFD_815),0.001,0.5794392,0.94602275,0.36658353,In variant 2 it is 36.65835% more likely than variant1 that if [01_HOOFD_815] occurs: [01_HOOFD_491] occurred before it without any other occurrence of [01_HOOFD_815] in between. 
RespondedExistence(01_HOOFD_030_1:01_BB_775),0.001,0.07110711,0.43456164,0.36345452,In variant 2 it is 36.34545% more likely than variant1 that if [01_HOOFD_030_1] occurs: also [01_BB_775] occurs. 
NotSuccession(01_HOOFD_030_2:01_BB_775),0.001,0.9307479,0.5690537,0.36169422,In variant 1 it is 36.169422% more likely than variant2 that [01_HOOFD_030_2] is not followed by [01_BB_775] and [01_BB_775] is not preceded by [01_HOOFD_030_2]. 
NotSuccession(01_HOOFD_490_4:01_HOOFD_101b),0.001,0.98734176,0.63038546,0.3569563,In variant 1 it is 35.69563% more likely than variant2 that [01_HOOFD_490_4] is not followed by [01_HOOFD_101b] and [01_HOOFD_101b] is not preceded by [01_HOOFD_490_4]. 
RespondedExistence(01_HOOFD_480:01_HOOFD_100_0),0.001,0.3647059,0.008665511,0.3560404,In variant 1 it is 35.60404% more likely than variant2 that if [01_HOOFD_480] occurs: also [01_HOOFD_100_0] occurs. 
RespondedExistence(16_LGSV_010:01_HOOFD_810),0.001,0.5,0.8559671,0.3559671,In variant 2 it is 35.59671% more likely than variant1 that if [16_LGSV_010] occurs: also [01_HOOFD_810] occurs. 
AlternatePrecedence(10_UOV_050_1:01_HOOFD_490_3a),0.002,0.14634146,0.5,0.35365856,In variant 2 it is 35.365856% more likely than variant1 that if [01_HOOFD_490_3a] occurs: [10_UOV_050_1] occurred before it without any other occurrence of [01_HOOFD_490_3a] in between. 
RespondedExistence(01_HOOFD_809:01_HOOFD_820),0.001,0.62857145,0.9804878,0.35191637,In variant 2 it is 35.19164% more likely than variant1 that if [01_HOOFD_809] occurs: also [01_HOOFD_820] occurs. 
AlternateResponse(16_LGSV_010:01_HOOFD_820),0.001,0.5,0.8518519,0.35185188,In variant 2 it is 35.18519% more likely than variant1 that if [16_LGSV_010] occurs: [01_HOOFD_820] will occur afterwards without any other occurrence of [16_LGSV_010] in between. 
RespondedExistence(01_HOOFD_814:01_HOOFD_250_2),0.001,0.5833333,0.93465906,0.35132575,In variant 2 it is 35.132576% more likely than variant1 that if [01_HOOFD_814] occurs: also [01_HOOFD_250_2] occurs. 
RespondedExistence(01_HOOFD_065_0:01_HOOFD_110_2),0.001,0.105367795,0.45652175,0.35115397,In variant 2 it is 35.1154% more likely than variant1 that if [01_HOOFD_065_0] occurs: also [01_HOOFD_110_2] occurs. 
RespondedExistence(11_AH_II_010:05_EIND_010),0.001,0.17781155,0.52871287,0.3509013,In variant 2 it is 35.09013% more likely than variant1 that if [11_AH_II_010] occurs: also [05_EIND_010] occurs. 
RespondedExistence(01_HOOFD_110_2:05_EIND_010),0.001,0.33668342,0.6857143,0.34903088,In variant 2 it is 34.903088% more likely than variant1 that if [01_HOOFD_110_2] occurs: also [05_EIND_010] occurs. 
RespondedExistence(01_HOOFD_815:01_HOOFD_250_2),0.001,0.58878505,0.93465906,0.345874,In variant 2 it is 34.587402% more likely than variant1 that if [01_HOOFD_815] occurs: also [01_HOOFD_250_2] occurs. 
RespondedExistence(01_HOOFD_814:01_HOOFD_250_1),0.001,0.5925926,0.93465906,0.34206647,In variant 2 it is 34.206646% more likely than variant1 that if [01_HOOFD_814] occurs: also [01_HOOFD_250_1] occurs. 
RespondedExistence(01_HOOFD_011:01_HOOFD_811),0.001,0.12594458,0.4661017,0.34015712,In variant 2 it is 34.015713% more likely than variant1 that if [01_HOOFD_011] occurs: also [01_HOOFD_811] occurs. 
RespondedExistence(04_BPT_005:05_EIND_010),0.001,0.18079801,0.5207987,0.3400007,In variant 2 it is 34.00007% more likely than variant1 that if [04_BPT_005] occurs: also [05_EIND_010] occurs. 
RespondedExistence(01_HOOFD_110_2:01_HOOFD_101b),0.001,0,0.3392857,0.3392857,In variant 2 it is 33.92857% more likely than variant1 that if [01_HOOFD_110_2] occurs: also [01_HOOFD_101b] occurs. 
RespondedExistence(01_HOOFD_815:01_HOOFD_250_1),0.001,0.5981308,0.93465906,0.33652824,In variant 2 it is 33.652824% more likely than variant1 that if [01_HOOFD_815] occurs: also [01_HOOFD_250_1] occurs. 
RespondedExistence(01_HOOFD_011:05_EIND_010),0.001,0.16750629,0.50338984,0.33588356,In variant 2 it is 33.588356% more likely than variant1 that if [01_HOOFD_011] occurs: also [05_EIND_010] occurs. 
RespondedExistence(02_DRZ_010:05_EIND_010),0.001,0.16412213,0.5,0.33587787,In variant 2 it is 33.587788% more likely than variant1 that if [02_DRZ_010] occurs: also [05_EIND_010] occurs. 
RespondedExistence(01_HOOFD_110_2:01_HOOFD_065_0),0.001,0.26633167,0.6,0.33366835,In variant 2 it is 33.366837% more likely than variant1 that if [01_HOOFD_110_2] occurs: also [01_HOOFD_065_0] occurs. 
RespondedExistence(01_HOOFD_809c:01_HOOFD_030_1),0.001,0.6666667,1,0.3333333,In variant 2 it is 33.333332% more likely than variant1 that if [01_HOOFD_809c] occurs: also [01_HOOFD_030_1] occurs. 
RespondedExistence(01_HOOFD_193:01_HOOFD_190_2),0.001,0.26229507,0.59375,0.33145493,In variant 2 it is 33.145493% more likely than variant1 that if [01_HOOFD_193] occurs: also [01_HOOFD_190_2] occurs. 
RespondedExistence(01_HOOFD_020:01_HOOFD_100_0),0.001,0.33668342,0.006038647,0.3306448,In variant 1 it is 33.06448% more likely than variant2 that if [01_HOOFD_020] occurs: also [01_HOOFD_100_0] occurs. 
Participation(01_HOOFD_100_0),0.001,0.3352794,0.006009616,0.3292698,In variant 1 it is 32.92698% more likely than variant2 that [01_HOOFD_100_0] occurs in every process instance. 
RespondedExistence(01_HOOFD_015:01_HOOFD_100_0),0.001,0.3352794,0.006031363,0.32924804,In variant 1 it is 32.924805% more likely than variant2 that if [01_HOOFD_015] occurs: also [01_HOOFD_100_0] occurs. 
RespondedExistence(01_BB_775:01_HOOFD_820),0.001,0.64761907,0.9766764,0.32905734,In variant 2 it is 32.905735% more likely than variant1 that if [01_BB_775] occurs: also [01_HOOFD_820] occurs. 
NotCoExistence(01_HOOFD_061:01_HOOFD_101b),0.001,0.98831385,0.65989846,0.3284154,In variant 1 it is 32.841537% more likely than variant2 that [01_HOOFD_061] and [01_HOOFD_101b] do not occur in together in the same process instance. 
RespondedExistence(01_HOOFD_460a:01_HOOFD_491),0.003,0.62068963,0.94871795,0.32802832,In variant 2 it is 32.802834% more likely than variant1 that if [01_HOOFD_460a] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(01_HOOFD_030_1:01_HOOFD_100_0),0.001,0.33393338,0.00635324,0.32758015,In variant 1 it is 32.758015% more likely than variant2 that if [01_HOOFD_030_1] occurs: also [01_HOOFD_100_0] occurs. 
AlternateResponse(04_BPT_030:01_HOOFD_491),0.001,0.17021276,0.4974359,0.32722312,In variant 2 it is 32.722313% more likely than variant1 that if [04_BPT_030] occurs: [01_HOOFD_491] will occur afterwards without any other occurrence of [04_BPT_030] in between. 
RespondedExistence(01_HOOFD_101b:01_HOOFD_491),0.001,0.6,0.9270833,0.3270833,In variant 2 it is 32.70833% more likely than variant1 that if [01_HOOFD_101b] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(01_HOOFD_020:01_BB_775),0.001,0.0879397,0.4142512,0.3263115,In variant 2 it is 32.63115% more likely than variant1 that if [01_HOOFD_020] occurs: also [01_BB_775] occurs. 
RespondedExistence(01_HOOFD_015:01_BB_775),0.001,0.08757298,0.4137515,0.32617855,In variant 2 it is 32.617855% more likely than variant1 that if [01_HOOFD_015] occurs: also [01_BB_775] occurs. 
RespondedExistence(01_HOOFD_010:01_BB_775),0.001,0.08757298,0.413253,0.32568002,In variant 2 it is 32.568% more likely than variant1 that if [01_HOOFD_010] occurs: also [01_BB_775] occurs. 
Participation(01_BB_775),0.001,0.08757298,0.4122596,0.32468665,In variant 2 it is 32.468666% more likely than variant1 that [01_BB_775] occurs in every process instance. 
RespondedExistence(01_HOOFD_460a:01_HOOFD_490_3a),0.002,0.3448276,0.025641026,0.31918657,In variant 1 it is 31.918657% more likely than variant2 that if [01_HOOFD_460a] occurs: also [01_HOOFD_490_3a] occurs. 
NotSuccession(01_HOOFD_110_2:01_HOOFD_811),0.001,0.9829932,0.6650602,0.31793296,In variant 1 it is 31.793297% more likely than variant2 that [01_HOOFD_110_2] is not followed by [01_HOOFD_811] and [01_HOOFD_811] is not preceded by [01_HOOFD_110_2]. 
RespondedExistence(01_HOOFD_811:01_HOOFD_820),0.001,0.68,0.99636364,0.31636363,In variant 2 it is 31.636364% more likely than variant1 that if [01_HOOFD_811] occurs: also [01_HOOFD_820] occurs. 
Precedence(01_HOOFD_061:01_HOOFD_455),0.001,0.3548387,0.039215688,0.31562302,In variant 1 it is 31.562302% more likely than variant2 that if [01_HOOFD_455] occurs: [01_HOOFD_061] occurred before it. 
RespondedExistence(01_HOOFD_480:01_HOOFD_811),0.001,0.08470588,0.39688042,0.31217453,In variant 2 it is 31.217453% more likely than variant1 that if [01_HOOFD_480] occurs: also [01_HOOFD_811] occurs. 
Precedence(05_EIND_010:01_HOOFD_495),0.001,0.255751,0.5669725,0.31122148,In variant 2 it is 31.122149% more likely than variant1 that if [01_HOOFD_495] occurs: [05_EIND_010] occurred before it. 
RespondedExistence(01_HOOFD_530b:01_HOOFD_030_1),0.001,0.6923077,1,0.3076923,In variant 2 it is 30.76923% more likely than variant1 that if [01_HOOFD_530b] occurs: also [01_HOOFD_030_1] occurs. 
NotSuccession(01_HOOFD_330:01_HOOFD_811),0.001,0.90303737,0.5962733,0.30676407,In variant 1 it is 30.676407% more likely than variant2 that [01_HOOFD_330] is not followed by [01_HOOFD_811] and [01_HOOFD_811] is not preceded by [01_HOOFD_330]. 
RespondedExistence(01_HOOFD_370:05_EIND_010),0.001,0.46182728,0.76831347,0.3064862,In variant 2 it is 30.648619% more likely than variant1 that if [01_HOOFD_370] occurs: also [05_EIND_010] occurs. 
AlternateResponse(01_HOOFD_010:01_HOOFD_100_0),0.001,0.3110926,0.006024096,0.3050685,In variant 1 it is 30.50685% more likely than variant2 that if [01_HOOFD_010] occurs: [01_HOOFD_100_0] will occur afterwards without any other occurrence of [01_HOOFD_010] in between. 
RespondedExistence(01_HOOFD_459:01_HOOFD_491),0.003,0.62068963,0.925,0.30431038,In variant 2 it is 30.431038% more likely than variant1 that if [01_HOOFD_459] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(16_LGSV_010:01_BB_770),0.001,0.5,0.80246913,0.30246913,In variant 2 it is 30.246914% more likely than variant1 that if [16_LGSV_010] occurs: also [01_BB_770] occurs. 
RespondedExistence(01_HOOFD_459:01_HOOFD_065_1),0.001,0,0.3,0.3,In variant 2 it is 30.000002% more likely than variant1 that if [01_HOOFD_459] occurs: also [01_HOOFD_065_1] occurs. 
RespondedExistence(11_AH_II_037_2:01_HOOFD_480),0.005,1,0.7,0.3,In variant 1 it is 30.000002% more likely than variant2 that if [11_AH_II_037_2] occurs: also [01_HOOFD_480] occurs. 
RespondedExistence(01_HOOFD_110_2:01_HOOFD_065_1),0.001,0.7336683,0.43571427,0.29795405,In variant 1 it is 29.795404% more likely than variant2 that if [01_HOOFD_110_2] occurs: also [01_HOOFD_065_1] occurs. 
